,Variable,P-Value
708,zonedist_level1_res200_mean_9x9,0.23675231409431333
770,has_park_res30_distance_mean_9x9,0.236763537721089
376,street_traffic_res100_std_dev_3x3,0.23858745353750532
157,swir22_mean_3x3,0.24104850378638915
692,sd_level1_res30_mean_9x9,0.24286584323631855
875,sentinel_2_arvi_std_dev_9x9,0.245205658883843
168,awei_sh_mean_3x3,0.2511348059611366
575,zonedist_level3_res1000_std_dev_5x5,0.2512347032094332
490,sentinel_2_gndvi_mean_5x5,0.25189358085391106
493,sentinel_2_ndwi_mean_5x5,0.25189358085391106
191,has_residence_res1000_mean_3x3,0.25264304939402565
636,street_traffic_res30_std_dev_5x5,0.2550019530757325
496,sentinel_2_ndsi_mean_5x5,0.25583887767084385
151,hcho_july24_mean_3x3,0.258335279083466
327,has_residence_res200_std_dev_3x3,0.2603737227463316
316,has_park_res100_std_dev_3x3,0.26318036575053244
320,has_residence_res1000_std_dev_3x3,0.2640926013235575
585,has_commercial_res200_std_dev_5x5,0.26554327368061514
755,sentinel_2_ndbi_mean_9x9,0.26599881617171284
693,sd_level2_res30_mean_9x9,0.2686489311058493
333,zonedist_level3_res30_std_dev_3x3,0.270773830268369
297,awei_sh_std_dev_3x3,0.27089298969125575
413,swir16_mean_5x5,0.2717813651823264
190,zonedist_level3_res1000_mean_3x3,0.27224362035147553
811,nbr_std_dev_9x9,0.2724044049920752
95,B07,0.2726937312982137
170,nbr_mean_3x3,0.2732961635727348
354,B08_std_dev_3x3,0.2742794982717967
341,has_residence_res500_std_dev_3x3,0.2744407300711881
241,sentinel_2_si_mean_3x3,0.2759385693051739
633,street_lanes_res100_std_dev_5x5,0.27654503668282265
438,zonedist_level1_res100_mean_5x5,0.2767337924110793
235,sentinel_2_msavi_mean_3x3,0.2775142487916611
323,has_park_res1000_std_dev_3x3,0.2801652996726144
856,has_park_res500_std_dev_9x9,0.2804824033195698
589,zonedist_level3_res30_std_dev_5x5,0.2813756544204581
230,sentinel_2_ndvi_mean_3x3,0.281821938123319
232,sentinel_2_savi_mean_3x3,0.2819131111915052
373,sentinel_2_ibi_std_dev_3x3,0.2828259422392343
375,street_width_res100_std_dev_3x3,0.28348841530573027
194,has_park_res1000_mean_3x3,0.2836831522402023
344,has_park_res500_std_dev_3x3,0.2841729035693422
330,has_park_res200_std_dev_3x3,0.2861610401835218
418,evi_mean_5x5,0.286543279924934
420,gndvi_mean_5x5,0.28691221637362607
423,ndwi_mean_5x5,0.28691221637362607
829,zonedist_level1_res1000_std_dev_9x9,0.2873837838947991
543,coastal_std_dev_5x5,0.28862272687438817
360,sentinel_2_evi_std_dev_3x3,0.2894110213076465
24,blue,0.2914575340988593
371,sentinel_2_ndbi_std_dev_3x3,0.29360801658841074
761,street_lanes_res100_mean_9x9,0.29567409629411767
299,nbr_std_dev_3x3,0.2962398897633181
499,sentinel_2_ndbi_mean_5x5,0.2967588312466315
262,building_year_res100_std_dev_3x3,0.2996187861307068
812,si_std_dev_9x9,0.29978951116608066
464,has_commercial_res30_mean_5x5,0.3006111172154623
223,B06_mean_3x3,0.30131267564074116
422,msavi_mean_5x5,0.30155106384558794
616,sentinel_2_evi_std_dev_5x5,0.301980687339343
41,nbr,0.3040863241743877
64,has_commercial_res1000,0.30487600451056074
97,B8A,0.3080363585436758
637,street_lanes_res30_std_dev_5x5,0.3141713340094279
419,savi_mean_5x5,0.3142216269912451
580,zonedist_level1_res200_std_dev_5x5,0.31557523098112483
611,B8A_std_dev_5x5,0.3169254107430288
651,building_year_res30_mean_9x9,0.31839893460697183
239,sentinel_2_ndsi_mean_3x3,0.32272749419752833
287,coastal_std_dev_3x3,0.32502742046057337
514,has_park_res30_distance_mean_5x5,0.32503609229977143
694,zonedist_level1_res100_mean_9x9,0.32664188719187204
809,awei_sh_std_dev_9x9,0.33112824870663393
725,has_residence_res500_mean_9x9,0.33224865309882123
487,sentinel_2_ndvi_mean_5x5,0.33479351658879053
489,sentinel_2_savi_mean_5x5,0.3348446051026005
641,has_commercial_res30_distance_std_dev_5x5,0.33643080269303594
147,canopy_heigth_count_res30_mean_3x3,0.3397766455632822
276,canopy_heigth_count_res30_std_dev_3x3,0.3399785890701198
492,sentinel_2_msavi_mean_5x5,0.34064995107946394
480,B06_mean_5x5,0.3415029838887147
866,B08_std_dev_9x9,0.3422537715097098
697,has_residence_res100_mean_9x9,0.3423086870321441
459,zonedist_level1_res30_mean_5x5,0.3423989570020239
446,zonedist_level2_res1000_mean_5x5,0.343694122086455
752,sentinel_2_ndsi_mean_9x9,0.3441223225545007
658,canopy_heigth_count_res10_mean_9x9,0.34733386309007364
318,zonedist_level2_res1000_std_dev_3x3,0.34898896204317176
786,canopy_heigth_count_res10_std_dev_9x9,0.3527834311872281
257,has_park_res30_distance_mean_3x3,0.3534012257632644
853,has_residence_res500_std_dev_9x9,0.3535663374838375
179,sd_level1_res30_mean_3x3,0.3548634216292966
721,has_park_res30_mean_9x9,0.3577655434263639
884,sentinel_2_ui_std_dev_9x9,0.3596251446562949
428,si_mean_5x5,0.36564451868858117
643,aod47_mean_9x9,0.3672446952020366
180,sd_level2_res30_mean_3x3,0.3674853872844587
556,si_std_dev_5x5,0.3679179410779274
850,zonedist_level1_res500_std_dev_9x9,0.3702112185897696
559,ibi_std_dev_5x5,0.3730925881751931
395,building_year_res30_mean_5x5,0.3734833154776721
298,ndsi_std_dev_3x3,0.3755044631461322
328,has_manufacture_res200_std_dev_3x3,0.37614614956313985
784,building_area_per_pixel_res30_std_dev_9x9,0.37687170400921455
780,building_area_res30_std_dev_9x9,0.37687170490849764
421,arvi_mean_5x5,0.3778708045218372
112,sentinel_2_si,0.379057497482165
855,has_commercial_res500_std_dev_9x9,0.3802553255749376
417,ndvi_mean_5x5,0.3804123857042433
234,sentinel_2_arvi_mean_3x3,0.3809109736455879
644,aod55_mean_9x9,0.38182773017888016
771,aod47_std_dev_9x9,0.38199995305744805
306,overlay_level2_res30_std_dev_3x3,0.38276151510818357
455,has_residence_res200_mean_5x5,0.3836462231003773
746,sentinel_2_gndvi_mean_9x9,0.3845230883093629
749,sentinel_2_ndwi_mean_9x9,0.3845230883093629
115,sentinel_2_ibi,0.38466242156161434
